subj_idx,gender,year,education,dist,trial_type,rt,response,key_press,condition,correct_response,correct,word,Image,shape_en,valence,ACC,exp,matchness,trial_id
1,0,2000,5,434.97,psychophysics,874,f,f,image_first,f,TRUE,三角,img/C_ambi40.png,circle,circle,1,exp1,mismatch,1
1,0,2000,5,434.97,psychophysics,670,j,j,image_first,j,TRUE,圆形,img/C_ambi40.png,circle,circle,1,exp1,match,2
1,0,2000,5,434.97,psychophysics,594,j,j,image_first,j,TRUE,三角,img/T_ambi40.png,triangle,triangle,1,exp1,match,3
1,0,2000,5,434.97,psychophysics,645,f,f,image_first,f,TRUE,圆形,img/S_ambi40.png,square,square,1,exp1,mismatch,4
1,0,2000,5,434.97,psychophysics,573,j,j,image_first,j,TRUE,方形,img/S_ambi40.png,square,square,1,exp1,match,5
1,0,2000,5,434.97,psychophysics,548,j,j,image_first,j,TRUE,三角,img/T_ambi40.png,triangle,triangle,1,exp1,match,6
1,0,2000,5,434.97,psychophysics,612,f,f,image_first,f,TRUE,方形,img/C_ambi40.png,circle,circle,1,exp1,mismatch,7
1,0,2000,5,434.97,psychophysics,574,j,j,image_first,j,TRUE,方形,img/S_ambi40.png,square,square,1,exp1,match,8
1,0,2000,5,434.97,psychophysics,611,f,f,image_first,f,TRUE,方形,img/T_ambi40.png,triangle,triangle,1,exp1,mismatch,9
1,0,2000,5,434.97,psychophysics,678,f,f,image_first,f,TRUE,圆形,img/T_ambi40.png,triangle,triangle,1,exp1,mismatch,10
1,0,2000,5,434.97,psychophysics,578,j,j,image_first,j,TRUE,圆形,img/C_ambi40.png,circle,circle,1,exp1,match,11
1,0,2000,5,434.97,psychophysics,573,f,f,image_first,f,TRUE,三角,img/S_ambi40.png,square,square,1,exp1,mismatch,12
1,0,2000,5,434.97,psychophysics,570,j,j,image_first,j,TRUE,三角,img/T_ambi40.png,triangle,triangle,1,exp1,match,13
1,0,2000,5,434.97,psychophysics,557,j,j,image_first,j,TRUE,三角,img/T_ambi40.png,triangle,triangle,1,exp1,match,14
1,0,2000,5,434.97,psychophysics,556,f,f,image_first,f,TRUE,三角,img/S_ambi40.png,square,square,1,exp1,mismatch,15
1,0,2000,5,434.97,psychophysics,558,j,j,image_first,j,TRUE,圆形,img/C_ambi40.png,circle,circle,1,exp1,match,16
1,0,2000,5,434.97,psychophysics,676,f,f,image_first,f,TRUE,方形,img/T_ambi40.png,triangle,triangle,1,exp1,mismatch,17
1,0,2000,5,434.97,psychophysics,756,f,f,image_first,f,TRUE,圆形,img/S_ambi40.png,square,square,1,exp1,mismatch,18
1,0,2000,5,434.97,psychophysics,620,f,f,image_first,f,TRUE,圆形,img/T_ambi40.png,triangle,triangle,1,exp1,mismatch,19
1,0,2000,5,434.97,psychophysics,672,f,f,image_first,f,TRUE,方形,img/C_ambi40.png,circle,circle,1,exp1,mismatch,20
1,0,2000,5,434.97,psychophysics,640,j,j,image_first,j,TRUE,方形,img/S_ambi40.png,square,square,1,exp1,match,21
1,0,2000,5,434.97,psychophysics,622,f,f,image_first,f,TRUE,三角,img/C_ambi40.png,circle,circle,1,exp1,mismatch,22
1,0,2000,5,434.97,psychophysics,740,j,j,image_first,j,TRUE,方形,img/S_ambi40.png,square,square,1,exp1,match,23
1,0,2000,5,434.97,psychophysics,705,j,j,image_first,j,TRUE,圆形,img/C_ambi40.png,circle,circle,1,exp1,match,24
1,0,2000,5,434.97,psychophysics,555,j,j,image_first,j,TRUE,三角,img/T_ambi40.png,triangle,triangle,1,exp1,match,25
1,0,2000,5,434.97,psychophysics,609,f,f,image_first,f,TRUE,方形,img/C_ambi40.png,circle,circle,1,exp1,mismatch,26
1,0,2000,5,434.97,psychophysics,610,f,f,image_first,f,TRUE,三角,img/S_ambi40.png,square,square,1,exp1,mismatch,27
1,0,2000,5,434.97,psychophysics,505,j,j,image_first,j,TRUE,圆形,img/C_ambi40.png,circle,circle,1,exp1,match,28
1,0,2000,5,434.97,psychophysics,829,f,f,image_first,f,TRUE,圆形,img/S_ambi40.png,square,square,1,exp1,mismatch,29
1,0,2000,5,434.97,psychophysics,614,j,j,image_first,j,TRUE,方形,img/S_ambi40.png,square,square,1,exp1,match,30
1,0,2000,5,434.97,psychophysics,623,f,f,image_first,f,TRUE,三角,img/C_ambi40.png,circle,circle,1,exp1,mismatch,31
1,0,2000,5,434.97,psychophysics,580,j,j,image_first,j,TRUE,三角,img/T_ambi40.png,triangle,triangle,1,exp1,match,32
1,0,2000,5,434.97,psychophysics,679,j,j,image_first,j,TRUE,方形,img/S_ambi40.png,square,square,1,exp1,match,33
1,0,2000,5,434.97,psychophysics,627,j,j,image_first,j,TRUE,圆形,img/C_ambi40.png,circle,circle,1,exp1,match,34
1,0,2000,5,434.97,psychophysics,627,f,f,image_first,f,TRUE,方形,img/T_ambi40.png,triangle,triangle,1,exp1,mismatch,35
1,0,2000,5,434.97,psychophysics,672,f,f,image_first,f,TRUE,圆形,img/T_ambi40.png,triangle,triangle,1,exp1,mismatch,36
1,0,2000,5,434.97,psychophysics,629,j,j,image_first,j,TRUE,三角,img/T_ambi40.png,triangle,triangle,1,exp1,match,37
1,0,2000,5,434.97,psychophysics,662,j,j,image_first,j,TRUE,圆形,img/C_ambi40.png,circle,circle,1,exp1,match,38
