"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","1708","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","16590","0.0-1.0","14881","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","18049","0.0-2.0","1459","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","18050","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","25345","0.0-3.0-1.0","7287","","{""Q0"":""37""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","26293","0.0-3.0-2.0","946","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","35111","0.0-3.0-3.0","8817","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","40149","0.0-3.0-4.0","5037","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","102616","0.0-4.0","62465","","","","85.6","53.98","605.5128055162717","7.077171962562792","403.48","12.110256110325432","50.00000000000001","1.0371374383479064","37.459999999999994","19.38","","","","","","","","","","","",""
"true","","","","","fullscreen","9","107412","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","144377","0.0-6.0","36964","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2296},{""page_index"":1,""viewing_time"":22638},{""page_index"":2,""viewing_time"":8129},{""page_index"":3,""viewing_time"":3901}]","","","","","","","","","","",""
"","","","","","psychophysics","11","146172","0.0-7.0-0.0-0.0","639","","j","","","","","","","","","","","","","key","j","16.66157009345795","960","536","j","true","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","12","146476","0.0-7.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","148533","0.0-7.0-0.0-0.1","903","","f","","","","","","","","","","","","","key","f","16.657959349593526","960","536","f","true","img/S_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","14","148837","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","150743","0.0-7.0-0.0-0.2","748","","j","","","","","","","","","","","","","key","j","18.454078431372466","960","536","j","true","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","16","151046","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","153089","0.0-7.0-0.0-0.3","883","","j","","","","","","","","","","","","","key","j","16.66110743801658","960","536","j","true","img/T_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","18","153396","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","155395","0.0-7.0-0.0-0.4","839","","f","","","","","","","","","","","","","key","f","16.657336134453764","960","536","f","true","img/C_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","20","155697","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","157614","0.0-7.0-0.0-0.5","757","","f","","","","","","","","","","","","","key","f","16.65907017543877","960","536","f","true","img/T_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","22","157916","0.0-7.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","23","159942","0.0-7.0-0.0-0.6","868","","f","","","","","","","","","","","","","key","f","16.658239669421466","960","536","j","false","img/S_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","24","160247","0.0-7.0-0.0-1.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","25","162509","0.0-7.0-0.0-0.7","1103","","j","","","","","","","","","","","","","key","j","17.165839694656533","960","536","j","true","img/T_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","26","162816","0.0-7.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","27","164856","0.0-7.0-0.0-0.8","886","","f","","","","","","","","","","","","","key","f","16.660729508196695","960","536","f","true","img/T_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","28","165166","0.0-7.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","29","167437","0.0-7.0-0.0-0.9","1118","","f","","","","","","","","","","","","","key","f","16.657735294117575","960","536","f","true","img/C_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","30","167746","0.0-7.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","31","169862","0.0-7.0-0.0-0.10","960","","j","","","","","","","","","","","","","key","j","16.65800793650782","960","536","f","false","img/S_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","32","170166","0.0-7.0-0.0-1.10","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","33","172114","0.0-7.0-0.0-0.11","797","","j","","","","","","","","","","","","","key","j","16.949345132743474","960","536","j","true","img/S_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","34","172416","0.0-7.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","35","174262","0.0-7.0-0.0-0.12","686","","f","","","","","","","","","","","","","key","f","16.65766972477052","960","536","f","true","img/C_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","36","174566","0.0-7.0-0.0-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","37","176483","0.0-7.0-0.0-0.13","757","","j","","","","","","","","","","","","","key","j","16.65848245614044","960","536","j","true","img/S_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","38","176786","0.0-7.0-0.0-1.13","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","39","178507","0.0-7.0-0.0-0.14","561","","j","","","","","","","","","","","","","key","j","16.823316831683158","960","536","j","true","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","40","178823","0.0-7.0-0.0-1.14","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","41","180657","0.0-7.0-0.0-0.15","681","","f","","","","","","","","","","","","","key","f","16.658394495412704","960","536","f","true","img/S_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","42","180962","0.0-7.0-0.0-1.15","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","43","182810","0.0-7.0-0.0-0.16","686","","j","","","","","","","","","","","","","key","j","16.654220183486217","960","536","j","true","img/T_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","44","183117","0.0-7.0-0.0-1.16","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","45","184930","0.0-7.0-0.0-0.17","654","","j","","","","","","","","","","","","","key","j","16.657888888888852","960","536","f","false","img/T_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","46","185236","0.0-7.0-0.0-1.17","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","47","187039","0.0-7.0-0.0-0.18","646","","j","","","","","","","","","","","","","key","j","16.660476635513767","960","536","j","true","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","48","187346","0.0-7.0-0.0-1.18","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","49","189299","0.0-7.0-0.0-0.19","793","","f","","","","","","","","","","","","","key","f","16.657974137931134","960","536","f","true","img/T_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","50","189607","0.0-7.0-0.0-1.19","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
