"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","575","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","7641","0.0-1.0","7065","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","9752","0.0-2.0","2110","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","9753","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","14502","0.0-3.0-1.0","4748","","{""Q0"":""18""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","15533","0.0-3.0-2.0","1030","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","19454","0.0-3.0-3.0","3919","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","22123","0.0-3.0-4.0","2668","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","111234","0.0-4.0","89109","","","","85.6","53.98","573.8295418322688","6.699253981199693","425.92","11.476590836645377","50","0.7284393178247731","28.3","16.08","","","","","","","","","","","",""
"true","","","","","fullscreen","9","113823","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","151211","0.0-6.0","37387","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7658},{""page_index"":1,""viewing_time"":20279},{""page_index"":2,""viewing_time"":4611},{""page_index"":3,""viewing_time"":4839}]","","","","","","","","","","",""
"","","","","","psychophysics","11","153197","0.0-7.0-0.0-0.0","828","","j","","","","","","","","","","","","","key","j","16.66662711864416","731.4285714285714","453.42857142857144","j","true","img/T_ambi40.png","常人","prac_image_first",""
