"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","295","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","11488","0.0-1.0","11192","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","15055","0.0-2.0","3567","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","15055","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","19524","0.0-3.0-1.0","4465","","{""Q0"":""30""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","21423","0.0-3.0-2.0","1897","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","26521","0.0-3.0-3.0","5097","","{""Q0"":""2004""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","30210","0.0-3.0-4.0","3689","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","86982","0.0-4.0","56770","","","","85.6","53.98","500.26070008280107","5.845743012203519","488.95","10.005214001656023","50","0.7116289565442105","24.66","12.02","","","","","","","","","","","",""
"true","","","","","fullscreen","9","91322","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","184040","0.0-6.0","92717","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":7657},{""page_index"":1,""viewing_time"":70075},{""page_index"":2,""viewing_time"":9715},{""page_index"":3,""viewing_time"":5271}]","","","","","","","","","","",""
"","","","","","psychophysics","11","185835","0.0-7.0-0.0-0.0","634","","f","","","","","","","","","","","","","key","f","16.652028301886705","640","356","f","true","img/S_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","12","186138","0.0-7.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","187710","0.0-7.0-0.0-0.1","417","","j","","","","","","","","","","","","","key","j","16.66082795698919","640","356","j","true","img/S_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","14","188023","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","189604","0.0-7.0-0.0-0.2","422","","j","","","","","","","","","","","","","key","j","16.651776595744913","640","356","j","true","img/T_ambi40.png","常人","prac_image_first",""
