"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","3501","0.0-1.0","3499","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","3867","0.0-2.0","366","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","3867","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","7309","0.0-3.0-1.0","3441","","{""Q0"":""17""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","8227","0.0-3.0-2.0","917","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","11114","0.0-3.0-3.0","2886","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","13074","0.0-3.0-4.0","1958","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","44604","0.0-4.0","31529","","","","85.6","53.98","573.9366241132271","6.704743512106133","425.84","11.478732482264544","50","0.7561810516458343","27.86","15.28","","","","","","","","","","","",""
"true","","","","","fullscreen","9","47091","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
