"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","45","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","7890","0.0-1.0","7844","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","arrowdown","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","9347","0.0-2.0","1457","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","arrowleft","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","9348","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","16939","0.0-3.0-1.0","7589","","{""Q0"":""21""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","17740","0.0-3.0-2.0","801","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","21030","0.0-3.0-3.0","3290","","{""Q0"":""2001""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","23148","0.0-3.0-4.0","2117","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","100719","0.0-4.0","77569","","","","85.6","53.98","424.2247054903365","4.95580473925347","577","8.484494109806729","50","1.0230427280239722","33.2","18.96","","","","","","","","","","","",""
"true","","","","","fullscreen","9","106818","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","145873","0.0-6.0","39054","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":3150},{""page_index"":1,""viewing_time"":25562},{""page_index"":2,""viewing_time"":8490},{""page_index"":3,""viewing_time"":1852}]","","","","","","","","","","",""
"","","","","","psychophysics","11","148534","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","6.121491879350309","853.3333333333334","529.3333333333334","j","false","img/T_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","12","148844","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","150808","0.0-7.0-0.0-0.1","813","","f","","","","","","","","","","","","","key","f","6.060541795665613","853.3333333333334","529.3333333333334","f","true","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","14","151121","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","153177","0.0-7.0-0.0-0.2","904","","f","","","","","","","","","","","","","key","f","6.051679525222545","853.3333333333334","529.3333333333334","f","true","img/C_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","16","153482","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","155616","0.0-7.0-0.0-0.3","979","","f","","","","","","","","","","","","","key","f","6.060504273504256","853.3333333333334","529.3333333333334","f","true","img/T_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","18","155921","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","157557","0.0-7.0-0.0-0.4","484","","j","","","","","","","","","","","","","key","j","6.049558052434525","853.3333333333334","529.3333333333334","j","true","img/C_ambi40.png","常人","prac_image_first",""
