"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","455","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","526565","0.0-1.0","526119","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","529496","0.0-2.0","2930","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","529499","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","537773","0.0-3.0-1.0","8272","","{""Q0"":""34""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","540327","0.0-3.0-2.0","2552","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","547709","0.0-3.0-3.0","7381","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","554091","0.0-3.0-4.0","6381","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","641288","0.0-4.0","87194","","","","85.6","53.98","589.8543975149715","6.890953032580117","414.27","11.79708795029943","50","0.7154307940703094","28.8","15.28","","","","","","","","","","","",""
"true","","","","","fullscreen","9","644838","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","693488","0.0-6.0","48650","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2184},{""page_index"":1,""viewing_time"":28856},{""page_index"":2,""viewing_time"":13058},{""page_index"":3,""viewing_time"":4552}]","","","","","","","","","","",""
"","","","","","psychophysics","11","695400","0.0-7.0-0.0-0.0","756","","f","","","","","","","","","","","","","key","f","16.66599999999924","720","446","f","true","img/S_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","12","695703","0.0-7.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","697497","0.0-7.0-0.0-0.1","639","","f","","","","","","","","","","","","","key","f","16.666000000000974","720","446","f","true","img/S_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","14","697810","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","699681","0.0-7.0-0.0-0.2","710","","j","","","","","","","","","","","","","key","j","16.665999999999798","720","446","j","true","img/T_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","16","699987","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","701990","0.0-7.0-0.0-0.3","850","","f","","","","","","","","","","","","","key","f","16.66600000000035","720","446","f","true","img/T_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","18","702299","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","704313","0.0-7.0-0.0-0.4","859","","j","","","","","","","","","","","","","key","j","16.66600000000035","720","446","j","true","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","20","704627","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
