"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","705","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","4496","0.0-1.0","3790","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","6209","0.0-2.0","1713","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","6210","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","12009","0.0-3.0-1.0","5795","","{""Q0"":""10""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","12997","0.0-3.0-2.0","984","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","17963","0.0-3.0-3.0","4964","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","20895","0.0-3.0-4.0","2931","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","80090","0.0-4.0","59192","","","","85.6","53.98","510.19535106580673","5.961229891400479","479.38","10.203907021316136","50","0.744812745169421","25.6","13.78","","","","","","","","","","","",""
"true","","","","","fullscreen","9","86346","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","118294","0.0-6.0","31947","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2186},{""page_index"":1,""viewing_time"":26522},{""page_index"":2,""viewing_time"":2188},{""page_index"":3,""viewing_time"":1050}]","","","","","","","","","","",""
"","","","","","psychophysics","11","120534","0.0-7.0-0.0-0.0","1082","","f","","","","","","","","","","","","","key","f","16.674462121212084","640","396","f","true","img/T_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","12","120846","0.0-7.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","123068","0.0-7.0-0.0-0.1","1064","","j","","","","","","","","","","","","","key","j","16.674590909090924","640","396","j","true","img/T_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","14","123384","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","125964","0.0-7.0-0.0-0.2","1421","","f","","","","","","","","","","","","","key","f","16.674603896103868","640","396","j","false","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","16","126275","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
