"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","39","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","5367","0.0-1.0","5327","
   <p>您好，欢迎参加本次实验。</p>
   <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
   <p>如果您未见过上述内容，请咨询实验员。</p>
   <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p> <div style = ""color: green""><按任意键至下页></div> </p>
   ","enter","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","6048","0.0-2.0","681","
   <p>本实验首先需要您填写一些基本个人信息。</p>
   <p> <div style = ""color: green""><按任意键至下页></div></p>
   ","enter","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","6048","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","10157","0.0-3.0-1.0","4108","","{""Q0"":""27""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","10837","0.0-3.0-2.0","678","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","13797","0.0-3.0-3.0","2959","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","16109","0.0-3.0-4.0","2311","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","156806","0.0-4.0","140696","","","","85.6","53.98","467.3958577594949","5.455017968545829","523.5","9.347917155189897","50","0.8065967931491397","29.8","15.08","","","","","","","","","","","",""
"true","","","","","fullscreen","9","165223","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
