"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","871","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","18325","0.0-1.0","17453","
   <p>您好，欢迎参加本次实验。</p>
   <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
   <p>如果您未见过上述内容，请咨询实验员。</p>
   <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p> <div style = ""color: green""><按任意键至下页></div> </p>
   "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","22688","0.0-2.0","4363","
   <p>本实验首先需要您填写一些基本个人信息。</p>
   <p> <div style = ""color: green""><按任意键至下页></div></p>
   "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","22689","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","27689","0.0-3.0-1.0","4998","","{""Q0"":""1""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","29407","0.0-3.0-2.0","1717","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","40443","0.0-3.0-3.0","11035","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","45630","0.0-3.0-4.0","5185","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","293709","0.0-4.0","248077","","","","85.6","53.98","561.9676518711211","6.572164064255484","434.97","11.239353037422424","50","0.6299294965134125","24.66","11.38","","","","","","","","","","","",""
"true","","","","","fullscreen","9","298818","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","387145","0.0-6.0","88325","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5618},{""page_index"":1,""viewing_time"":47093},{""page_index"":2,""viewing_time"":17883},{""page_index"":3,""viewing_time"":17732}]","","","","","","","","","","",""
"","","","","","psychophysics","11","389809","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.653170886075955","640","356","j","false","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","12","390119","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","392020","0.0-7.0-0.0-0.1","746","","j","","","","","","","","","","","","","key","j","16.65373451327462","640","356","j","true","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","14","392334","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","394456","0.0-7.0-0.0-0.2","967","","f","","","","","","","","","","","","","key","f","16.653118110236193","640","356","f","true","img/C_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","16","394772","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","396912","0.0-7.0-0.0-0.3","981","","f","","","","","","","","","","","","","key","f","16.652897637795316","640","356","f","true","img/T_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","18","397222","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","399144","0.0-7.0-0.0-0.4","765","","f","","","","","","","","","","","","","key","f","16.6530701754387","640","356","f","true","img/C_ambi40.png","方形","prac_image_first",""
