"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","29","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","5878","0.0-1.0","5846","
   <p>您好，欢迎参加本次实验。</p>
   <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
   <p>如果您未见过上述内容，请咨询实验员。</p>
   <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p> <div style = ""color: green""><按任意键至下页></div> </p>
   "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","12470","0.0-2.0","6592","
   <p>本实验首先需要您填写一些基本个人信息。</p>
   <p> <div style = ""color: green""><按任意键至下页></div></p>
   "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","12470","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","17272","0.0-3.0-1.0","4800","","{""Q0"":""22""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","18496","0.0-3.0-2.0","1223","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","29133","0.0-3.0-3.0","10636","","{""Q0"":""2001""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","36269","0.0-3.0-4.0","7136","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","352005","0.0-4.0","315734","","","","85.6","53.98","402.59528102243377","4.700457993089148","608.11","8.051905620448675","50","0.948843709816643","29.8","15.84","","","","","","","","","","","",""
"true","","","","","fullscreen","9","356692","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","447129","0.0-6.0","90436","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":26065},{""page_index"":1,""viewing_time"":28596},{""page_index"":2,""viewing_time"":31640},{""page_index"":3,""viewing_time"":4136}]","","","","","","","","","","",""
"","","","","","psychophysics","11","449791","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.651031645569695","768","428","j","false","img/C_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","12","450099","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","452753","0.0-7.0-0.0-0.1","null","","null","","","","","","","","","","","","","key","null","16.651431249999952","768","428","f","false","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","14","453065","0.0-7.0-0.0-1.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","455719","0.0-7.0-0.0-0.2","null","","null","","","","","","","","","","","","","key","null","16.651490566037733","768","428","j","false","img/T_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","16","456031","0.0-7.0-0.0-1.2","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","458692","0.0-7.0-0.0-0.3","null","","null","","","","","","","","","","","","","key","null","16.650842767295575","768","428","j","false","img/S_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","18","459004","0.0-7.0-0.0-1.3","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","460406","0.0-7.0-0.0-0.4","248","","j","","","","","","","","","","","","","key","j","16.650614457831196","768","428","f","false","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","20","460721","0.0-7.0-0.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","463118","0.0-7.0-0.0-0.5","1244","","j","","","","","","","","","","","","","key","j","16.651335664335686","768","428","f","false","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","22","463422","0.0-7.0-0.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","23","466074","0.0-7.0-0.0-0.6","null","","null","","","","","","","","","","","","","key","null","16.651101265822483","768","428","f","false","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","24","466381","0.0-7.0-0.0-1.6","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","25","469039","0.0-7.0-0.0-0.7","null","","null","","","","","","","","","","","","","key","null","16.651256250000007","768","428","f","false","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","26","469351","0.0-7.0-0.0-1.7","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","27","472002","0.0-7.0-0.0-0.8","null","","null","","","","","","","","","","","","","key","null","16.755220125786266","768","428","f","false","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","28","472315","0.0-7.0-0.0-1.8","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","29","474969","0.0-7.0-0.0-0.9","null","","null","","","","","","","","","","","","","key","null","16.6517106918241","768","428","j","false","img/T_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","30","475281","0.0-7.0-0.0-1.9","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","31","477936","0.0-7.0-0.0-0.10","null","","null","","","","","","","","","","","","","key","null","16.65074683544322","768","428","j","false","img/C_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","32","478248","0.0-7.0-0.0-1.10","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","33","479583","0.0-7.0-0.0-0.11","179","","j","","","","","","","","","","","","","key","j","16.650500000000466","768","428","j","true","img/S_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","34","479888","0.0-7.0-0.0-1.11","null","<span style='color:yellow; font-size: 70px;'>过快! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","35","481238","0.0-7.0-0.0-0.12","196","","j","","","","","","","","","","","","","key","j","16.652124999999796","768","428","f","false","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","36","481539","0.0-7.0-0.0-1.12","null","<span style='color:yellow; font-size: 70px;'>过快! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","37","482910","0.0-7.0-0.0-0.13","219","","j","","","","","","","","","","","","","key","j","16.651634146340857","768","428","f","false","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","38","483226","0.0-7.0-0.0-1.13","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","39","484582","0.0-7.0-0.0-0.14","199","","j","","","","","","","","","","","","","key","j","16.65082716049388","768","428","j","true","img/S_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","40","484897","0.0-7.0-0.0-1.14","null","<span style='color:yellow; font-size: 70px;'>过快! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","41","486366","0.0-7.0-0.0-0.15","313","","j","","","","","","","","","","","","","key","j","16.6501954022993","768","428","f","false","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","42","486681","0.0-7.0-0.0-1.15","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","43","488062","0.0-7.0-0.0-0.16","227","","j","","","","","","","","","","","","","key","j","16.651445783132615","768","428","f","false","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","44","488366","0.0-7.0-0.0-1.16","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","45","491018","0.0-7.0-0.0-0.17","null","","null","","","","","","","","","","","","","key","null","16.651601265822656","768","428","j","false","img/C_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","46","491332","0.0-7.0-0.0-1.17","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","47","493991","0.0-7.0-0.0-0.18","null","","null","","","","","","","","","","","","","key","null","16.566164556962196","768","428","j","false","img/T_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","48","494303","0.0-7.0-0.0-1.18","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","49","495631","0.0-7.0-0.0-0.19","169","","j","","","","","","","","","","","","","key","j","16.651113924050197","768","428","j","true","img/C_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","50","495945","0.0-7.0-0.0-1.19","null","<span style='color:yellow; font-size: 70px;'>过快! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","51","497406","0.0-7.0-0.0-0.20","305","","j","","","","","","","","","","","","","key","j","16.490372093023495","768","428","f","false","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","52","497710","0.0-7.0-0.0-1.20","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","53","498958","0.0-7.0-0.0-0.21","98","","j","","","","","","","","","","","","","key","j","16.463315068492953","768","428","f","false","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","54","499269","0.0-7.0-0.0-1.21","null","<span style='color:yellow; font-size: 70px;'>过快! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","55","500614","0.0-7.0-0.0-0.22","191","","j","","","","","","","","","","","","","key","j","16.650790123457238","768","428","j","true","img/S_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","56","500924","0.0-7.0-0.0-1.22","null","<span style='color:yellow; font-size: 70px;'>过快! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","57","502302","0.0-7.0-0.0-0.23","227","","f","","","","","","","","","","","","","key","f","16.651419753086593","768","428","j","false","img/T_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","58","502615","0.0-7.0-0.0-1.23","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","html-keyboard-response","59","536670","0.0-7.0-1.0-0.0","34053","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                            <div><p class='context'>您正确回答了17% 的试次。</p><p class='context'>您的平均反应时为185毫秒。</p>","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","60","552932","0.0-7.0-1.0-1.0","16261","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4315},{""page_index"":1,""viewing_time"":8261},{""page_index"":2,""viewing_time"":3684}]","","","","","","","","","","",""
"","","","","","psychophysics","61","554286","0.0-7.1-0.1-0.24","200","","f","","","","","","","","","","","","","key","f","16.652037499999278","768","428","f","true","img/S_ambi40.png","方形","prac_image_first",""
