"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","414","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","96420","0.0-1.0","96004","
   <p>您好，欢迎参加本次实验。</p>
   <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
   <p>如果您未见过上述内容，请咨询实验员。</p>
   <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p> <div style = ""color: green""><按任意键至下页></div> </p>
   ","arrowdown","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","98101","0.0-2.0","1681","
   <p>本实验首先需要您填写一些基本个人信息。</p>
   <p> <div style = ""color: green""><按任意键至下页></div></p>
   ","arrowdown","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","98102","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","101714","0.0-3.0-1.0","3592","","{""Q0"":""3""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","102721","0.0-3.0-2.0","1006","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","106417","0.0-3.0-3.0","3695","","{""Q0"":""1995""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","108657","0.0-3.0-4.0","2239","","{""Q0"":""7""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","228412","0.0-4.0","119753","","","","85.6","53.98","539.7946217924662","6.302314170665967","452.95","10.795892435849323","50","0.7076765580426009","30.72","14.44","","","","","","","","","","","",""
"true","","","","","fullscreen","9","238096","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","289023","0.0-6.0","50927","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4400},{""page_index"":1,""viewing_time"":26529},{""page_index"":2,""viewing_time"":15836},{""page_index"":3,""viewing_time"":4162}]","","","","","","","","","","",""
"","","","","","psychophysics","11","291682","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.661246835443123","768","428","f","false","img/C_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","12","291984","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","293836","0.0-7.0-0.0-0.1","701","","j","","","","","","","","","","","","","key","j","16.660527272727233","768","428","j","true","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","14","294136","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","295923","0.0-7.0-0.0-0.2","635","","j","","","","","","","","","","","","","key","j","16.661575471697912","768","428","j","true","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","16","296223","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","298077","0.0-7.0-0.0-0.3","701","","j","","","","","","","","","","","","","key","j","16.66099999999966","768","428","j","true","img/T_ambi40.png","三角","prac_image_first",""
