subj_idx,valence,condition,CR,hit,FA,miss,hitR,faR,dprime
9,triangle,image_first,39,39,1,1,0.975,0.025,3.919927969080107
9,triangle,simultaneous,38,40,2,0,0.9875,0.05,3.8862563545564193
9,triangle,word_first,38,33,2,7,0.825,0.05,2.5794429180249523
10,circle,image_first,39,37,0,3,0.925,0.01282051282051282,3.671137306199379
10,circle,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
10,circle,word_first,40,38,0,1,0.9743589743589743,0.0125,4.1905147245448315
10,square,image_first,37,36,3,4,0.9,0.075,2.7210830364830567
10,square,simultaneous,38,36,2,4,0.9,0.05,2.9264051924960732
10,square,word_first,34,32,3,8,0.8,0.08108108108108109,2.2394577625440184
10,triangle,image_first,39,39,0,0,0.9871794871794872,0.01282051282051282,4.463211670521847
10,triangle,simultaneous,38,40,1,0,0.9875,0.02564102564102564,4.190514724544834
10,triangle,word_first,38,39,2,0,0.9871794871794872,0.05,3.876459462212397
11,circle,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
11,circle,simultaneous,35,38,4,2,0.95,0.10256410256410256,2.911929378217916
11,circle,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
11,square,image_first,37,40,3,0,0.9875,0.075,3.680934198543402
11,square,simultaneous,39,39,1,0,0.9871794871794872,0.025,4.1915698198009785
11,square,word_first,39,40,0,0,0.9875,0.01282051282051282,4.47300856286587
11,triangle,image_first,39,40,1,0,0.9875,0.025,4.201366712145
11,triangle,simultaneous,37,38,3,2,0.95,0.075,3.0843850978899274
11,triangle,word_first,38,39,2,1,0.975,0.05,3.6048176114915265
12,circle,image_first,37,35,3,5,0.875,0.075,2.5898808513144633
12,circle,simultaneous,38,37,2,3,0.925,0.05,3.0843850978899283
12,circle,word_first,37,36,3,4,0.9,0.075,2.7210830364830567
12,square,image_first,38,37,2,3,0.925,0.05,3.0843850978899283
12,square,simultaneous,36,38,4,2,0.95,0.1,2.9264051924960723
12,square,word_first,37,40,3,0,0.9875,0.075,3.680934198543402
12,triangle,image_first,38,35,2,5,0.875,0.05,2.7952030073274807
12,triangle,simultaneous,38,35,2,5,0.875,0.05,2.7952030073274807
12,triangle,word_first,39,39,1,1,0.975,0.025,3.919927969080107
13,circle,image_first,37,36,3,3,0.9230769230769231,0.075,2.8656083432113038
13,circle,simultaneous,31,38,9,2,0.95,0.225,2.400268653311941
13,circle,word_first,34,40,6,0,0.9875,0.15,3.277836117098736
13,square,image_first,38,38,2,2,0.95,0.05,3.289707253902944
13,square,simultaneous,35,37,5,3,0.925,0.125,2.5898808513144638
13,square,word_first,34,38,6,2,0.95,0.15,2.681287016445261
13,triangle,image_first,37,36,3,4,0.9,0.075,2.7210830364830567
13,triangle,simultaneous,31,39,8,1,0.975,0.20512820512820512,2.783406471763872
13,triangle,word_first,31,37,9,3,0.925,0.225,2.1949464972989254
14,circle,image_first,38,36,2,4,0.9,0.05,2.9264051924960732
14,circle,simultaneous,35,37,5,3,0.925,0.125,2.5898808513144638
14,circle,word_first,37,37,2,2,0.9487179487179487,0.05128205128205128,3.2650959316926964
14,square,image_first,39,29,1,11,0.725,0.025,2.5577241105825324
14,square,simultaneous,38,27,2,13,0.675,0.05,2.0986158171213525
14,square,word_first,40,29,0,11,0.725,0.0125,2.839162853647423
14,triangle,image_first,34,39,5,1,0.975,0.1282051282051282,3.0948806025335447
14,triangle,simultaneous,35,33,5,7,0.825,0.125,2.0849386714494877
14,triangle,word_first,34,40,6,0,0.9875,0.15,3.277836117098736
15,circle,image_first,31,36,3,1,0.972972972972973,0.08823529411764706,3.278105392894644
15,circle,simultaneous,30,38,10,2,0.95,0.25,2.319343377147553
15,circle,word_first,32,38,7,1,0.9743589743589743,0.1794871794871795,2.866433182559115
15,square,image_first,30,35,7,2,0.9459459459459459,0.1891891891891892,2.4876431885561727
15,square,simultaneous,34,37,6,3,0.925,0.15,2.4759648604322453
15,square,word_first,33,38,7,1,0.9743589743589743,0.175,2.8837012880133672
15,triangle,image_first,32,35,6,1,0.9722222222222222,0.15789473684210525,2.9176537927180908
15,triangle,simultaneous,39,37,0,2,0.9487179487179487,0.01282051282051282,3.864153801107271
15,triangle,word_first,35,38,4,1,0.9743589743589743,0.10256410256410256,3.2161877482063312
16,circle,image_first,39,40,1,0,0.9875,0.025,4.201366712145
16,circle,simultaneous,38,40,2,0,0.9875,0.05,3.8862563545564193
16,circle,word_first,38,35,0,3,0.9210526315789473,0.013157894736842105,3.6337071672440002
16,square,image_first,38,39,2,1,0.975,0.05,3.6048176114915265
16,square,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
16,square,word_first,36,37,2,1,0.9736842105263158,0.05263157894736842,3.5577877694910987
