subj_idx,val,matchness,seq,rt,ACC,response
1,Bad,mismatch,image_first,0.822,1,0
1,Neutral,mismatch,image_first,0.741,1,0
1,Neutral,match,image_first,0.781,1,1
1,Good,mismatch,image_first,0.683,1,0
1,Neutral,match,image_first,0.599,1,1
1,Bad,mismatch,image_first,0.783,1,0
1,Bad,match,image_first,0.603,1,1
1,Good,mismatch,image_first,0.724,1,0
1,Good,match,image_first,0.918,1,1
1,Neutral,mismatch,image_first,0.731,1,0
1,Bad,match,image_first,0.623,1,1
1,Good,match,image_first,0.617,1,1
1,Good,match,image_first,0.568,1,1
1,Bad,mismatch,image_first,0.656,1,0
1,Good,mismatch,image_first,0.708,1,0
1,Neutral,match,image_first,0.531,1,1
1,Bad,mismatch,image_first,0.795,1,0
1,Neutral,mismatch,image_first,0.709,1,0
1,Good,mismatch,image_first,1.042,1,0
1,Bad,match,image_first,0.734,1,1
1,Bad,match,image_first,0.705,1,1
1,Neutral,match,image_first,0.736,1,1
1,Good,match,image_first,0.591,1,1
1,Neutral,mismatch,image_first,0.683,1,0
1,Bad,mismatch,image_first,0.718,1,0
1,Bad,match,image_first,0.627,1,1
1,Neutral,mismatch,image_first,0.635,1,0
1,Good,mismatch,image_first,0.639,1,0
1,Neutral,mismatch,image_first,0.661,1,0
1,Good,mismatch,image_first,0.802,1,0
1,Neutral,match,image_first,0.702,1,1
1,Good,match,image_first,0.711,1,1
1,Bad,mismatch,image_first,0.698,1,0
1,Good,match,image_first,0.546,1,1
1,Bad,match,image_first,0.67,1,1
1,Neutral,match,image_first,0.755,1,1
1,Neutral,match,image_first,0.69,1,1
1,Good,match,image_first,0.603,1,1
1,Bad,mismatch,image_first,0.625,1,0
1,Good,match,image_first,0.672,1,1
1,Neutral,match,image_first,0.669,1,1
1,Good,mismatch,image_first,0.801,1,0
1,Bad,match,image_first,0.557,1,1
1,Neutral,mismatch,image_first,0.682,1,0
1,Bad,mismatch,image_first,0.84,1,0
1,Neutral,mismatch,image_first,0.712,1,0
1,Bad,match,image_first,0.593,1,1
1,Good,mismatch,image_first,0.604,1,0
1,Good,match,image_first,0.567,1,1
1,Good,match,image_first,0.675,1,1
1,Bad,mismatch,image_first,0.821,1,0
1,Neutral,mismatch,image_first,0.615,1,0
1,Bad,mismatch,image_first,0.709,1,0
1,Bad,match,image_first,0.671,1,1
1,Neutral,mismatch,image_first,0.644,1,0
1,Good,mismatch,image_first,0.819,1,0
1,Neutral,match,image_first,0.634,1,1
1,Good,mismatch,image_first,0.652,1,0
1,Bad,match,image_first,0.652,1,1
1,Neutral,match,image_first,0.641,1,1
1,Good,match,image_first,0.932,1,1
1,Bad,match,image_first,0.608,1,1
1,Bad,match,image_first,0.632,1,1
1,Bad,mismatch,image_first,0.589,1,0
1,Neutral,mismatch,image_first,0.863,1,0
1,Good,mismatch,image_first,0.754,1,0
1,Neutral,mismatch,image_first,0.951,1,0
1,Bad,mismatch,image_first,0.836,1,0
1,Good,match,image_first,0.564,1,1
1,Neutral,match,image_first,0.642,1,1
1,Good,mismatch,image_first,0.689,1,0
1,Neutral,match,image_first,0.709,1,1
1,Bad,mismatch,image_first,0.881,1,0
1,Neutral,mismatch,image_first,0.673,1,0
1,Neutral,match,image_first,0.707,1,1
1,Bad,mismatch,image_first,0.786,1,0
1,Good,mismatch,image_first,0.712,1,0
1,Neutral,match,image_first,0.673,1,1
1,Good,match,image_first,0.618,1,1
1,Bad,match,image_first,0.716,1,1
1,Neutral,mismatch,image_first,0.7,1,0
1,Good,match,image_first,0.568,1,1
1,Bad,match,image_first,0.662,1,1
1,Good,mismatch,image_first,0.667,1,0
1,Bad,mismatch,image_first,0.783,1,0
1,Good,mismatch,image_first,0.731,1,0
1,Good,mismatch,image_first,0.894,1,0
1,Good,match,image_first,0.775,1,1
1,Neutral,mismatch,image_first,0.605,1,0
1,Neutral,match,image_first,0.601,1,1
1,Neutral,mismatch,image_first,0.644,1,0
1,Bad,match,image_first,0.597,1,1
1,Bad,mismatch,image_first,0.575,1,0
1,Good,match,image_first,0.573,1,1
1,Neutral,match,image_first,0.672,1,1
1,Bad,match,image_first,0.571,1,1
1,Neutral,mismatch,image_first,0.629,1,0
1,Good,mismatch,image_first,0.641,1,0
1,Bad,mismatch,image_first,0.823,1,0
1,Bad,match,image_first,0.657,1,1
1,Neutral,match,image_first,0.646,1,1
1,Neutral,match,image_first,0.682,1,1
1,Good,match,image_first,0.573,1,1
1,Neutral,mismatch,image_first,0.694,1,0
1,Good,mismatch,image_first,0.685,1,0
1,Good,match,image_first,0.585,1,1
1,Bad,match,image_first,0.569,1,1
1,Bad,mismatch,image_first,0.653,1,0
1,Bad,match,image_first,0.66,1,1
1,Good,mismatch,image_first,0.611,1,0
1,Neutral,match,image_first,0.655,1,1
1,Good,mismatch,image_first,0.834,1,0
1,Bad,match,image_first,0.571,1,1
1,Bad,mismatch,image_first,0.57,1,0
1,Neutral,match,image_first,0.645,1,1
1,Neutral,mismatch,image_first,0.553,1,0
1,Neutral,mismatch,image_first,0.687,1,0
1,Good,match,image_first,0.693,1,1
