subj_idx,Bad_match_I,Bad_match_S,Bad_match_W,Bad_mismatch_I,Bad_mismatch_S,Bad_mismatch_W,Good_match_I,Good_match_S,Good_match_W,Good_mismatch_I,Good_mismatch_S,Good_mismatch_W,Neutral_match_I,Neutral_match_S,Neutral_match_W,Neutral_mismatch_I,Neutral_mismatch_S,Neutral_mismatch_W
1,6.428509068369469,6.527507973857929,6.406879986069314,6.584031435183091,6.6135562909946275,6.524919681121757,6.411941412836584,6.4685742783551365,6.307870728881881,6.545816505368306,6.676043878246773,6.493791660619074,6.481066534422346,6.512265253896051,6.407937225082642,6.520952442329162,6.626547926713166,6.444488903389066
2,6.391791477360023,6.580123847026406,6.373620888590679,6.5754039515040485,6.7072587425276,6.604023528103483,6.456367046661016,6.622128236366493,6.545500889068167,6.608717304992031,6.757373350550323,6.55282484424802,6.495143069461403,6.5653454496941706,6.338140953903436,6.536006983264181,6.716975192332089,6.61813584719013
3,6.563767370319261,6.587550014824796,6.462173572664521,6.4661037968223845,6.588204070855961,6.487563847842154,6.3835910907769655,6.444416569221482,6.3638898011379466,6.439182204951548,6.599281982625431,6.447929977398602,6.424124079632205,6.483228058802387,6.330484555807994,6.516992372704493,6.612108236876059,6.489291770802598
4,6.832477391975602,6.860578677185348,6.5839623195179975,6.739302814444019,6.867558089230724,6.6828914989225074,6.687927652479009,6.840546529288687,6.60115860587441,6.755833594579266,6.844988160956231,6.7126437060997795,6.691221777517993,6.749094443676992,6.608077738189401,6.842019645194662,6.852743166998756,6.681234820207398
5,6.525367971914916,6.677328323513335,6.581678818543044,6.628192536334004,6.8025799313648365,6.627820893321182,6.564525259897544,6.615261649533134,6.578104721707854,6.6324807619575354,6.764032940478386,6.5574509767880125,6.546445550855057,6.59774020103864,6.384415784891429,6.609881092063921,6.9159714337534774,6.664308317106
6,6.516344786579552,6.69807334374647,6.49352106517652,6.4901007967717215,6.749600868415076,6.509923463029368,6.369269925786775,6.59774020103864,6.384055470732541,6.496736315191176,6.727769453780549,6.5138975439156885,6.5650054849264965,6.76086026432076,6.5400154837290785,6.583340063474135,6.758400099882849,6.536256720437246
7,6.257520214807433,6.485610163122769,6.3483354177977604,6.342028753197293,6.545009312041384,6.450509915835064,6.174907270032033,6.365825910164813,6.24356926132128,6.303630609619749,6.571757929584136,6.4367406124946625,6.338164227450296,6.560057774120369,6.32330422122246,6.316623023828922,6.548035410923284,6.378976667632642
8,6.618738983517219,6.66238115529708,6.471736005001315,6.6125578574194055,6.735483058041184,6.5232144598940485,6.563399104458272,6.581733508677869,6.37040448215914,6.645632651984627,6.73121696694391,6.568113023155102,6.534313571037878,6.6241728994016125,6.456890406643976,6.61109181786576,6.736271334265312,6.597379547082198
9,6.560712369135207,6.6563095679527535,6.599676116862142,6.557563036254353,6.760266122541058,6.5368030740977465,6.478115693259258,6.653595106567894,6.525029657843462,6.629600328608322,6.757843350688929,6.582522209735655,6.455529524786135,6.642692640333299,6.51696940184303,6.580319017770931,6.6776645750649415,6.569333775352755
10,6.535655864717773,6.663972566364194,6.4173340965699515,6.600965893003077,6.72009317100814,6.567726726158147,6.533389048725962,6.599121919777424,6.469495084879236,6.665201590904828,6.7023697825896305,6.5373797665458255,6.4150549926189315,6.580529634246131,6.3687287026092125,6.56894184235124,6.650279048587422,6.484482552224008
