subj_idx,val,matchness,seq,rt,ACC,response
1,circle,mismatch,image_first,0.874,1,0
1,circle,match,image_first,0.67,1,1
1,triangle,match,image_first,0.594,1,1
1,square,mismatch,image_first,0.645,1,0
1,square,match,image_first,0.573,1,1
1,triangle,match,image_first,0.548,1,1
1,circle,mismatch,image_first,0.612,1,0
1,square,match,image_first,0.574,1,1
1,triangle,mismatch,image_first,0.611,1,0
1,triangle,mismatch,image_first,0.678,1,0
1,circle,match,image_first,0.578,1,1
1,square,mismatch,image_first,0.573,1,0
1,triangle,match,image_first,0.57,1,1
1,triangle,match,image_first,0.557,1,1
1,square,mismatch,image_first,0.556,1,0
1,circle,match,image_first,0.558,1,1
1,triangle,mismatch,image_first,0.676,1,0
1,square,mismatch,image_first,0.756,1,0
1,triangle,mismatch,image_first,0.62,1,0
1,circle,mismatch,image_first,0.672,1,0
1,square,match,image_first,0.64,1,1
1,circle,mismatch,image_first,0.622,1,0
1,square,match,image_first,0.74,1,1
1,circle,match,image_first,0.705,1,1
1,triangle,match,image_first,0.555,1,1
1,circle,mismatch,image_first,0.609,1,0
1,square,mismatch,image_first,0.61,1,0
1,circle,match,image_first,0.505,1,1
1,square,mismatch,image_first,0.829,1,0
1,square,match,image_first,0.614,1,1
1,circle,mismatch,image_first,0.623,1,0
1,triangle,match,image_first,0.58,1,1
1,square,match,image_first,0.679,1,1
1,circle,match,image_first,0.627,1,1
1,triangle,mismatch,image_first,0.627,1,0
1,triangle,mismatch,image_first,0.672,1,0
1,triangle,match,image_first,0.629,1,1
1,circle,match,image_first,0.662,1,1
1,circle,mismatch,image_first,0.607,1,0
1,triangle,mismatch,image_first,0.643,1,0
1,square,match,image_first,0.59,1,1
1,square,match,image_first,0.608,1,1
1,circle,mismatch,image_first,0.591,1,0
1,square,mismatch,image_first,0.695,1,0
1,triangle,match,image_first,0.557,1,1
1,triangle,mismatch,image_first,0.597,1,0
1,square,mismatch,image_first,0.777,1,0
1,circle,match,image_first,0.586,1,1
1,square,match,image_first,0.744,1,1
1,triangle,match,image_first,0.579,1,1
1,triangle,mismatch,image_first,0.636,1,0
1,circle,mismatch,image_first,0.696,1,0
1,square,match,image_first,0.612,1,1
1,triangle,mismatch,image_first,0.663,1,0
1,circle,match,image_first,0.538,1,1
1,circle,match,image_first,0.603,1,1
1,square,mismatch,image_first,0.616,1,0
1,triangle,match,image_first,0.559,1,1
1,circle,mismatch,image_first,0.616,1,0
