subj_idx,circle_match_I,circle_match_S,circle_match_W,circle_mismatch_I,circle_mismatch_S,circle_mismatch_W,square_match_I,square_match_S,square_match_W,square_mismatch_I,square_mismatch_S,square_mismatch_W,triangle_match_I,triangle_match_S,triangle_match_W,triangle_mismatch_I,triangle_mismatch_S,triangle_mismatch_W
1,6.350100067859349,6.476577807745484,6.32588110083162,6.4586517138441435,6.617227054817258,6.403863891069045,6.3863741412766295,6.495190024383666,6.3157288698219824,6.454593639239648,6.612420064177946,6.421322693627571,6.329720905522696,6.49696834272615,6.313683906612879,6.432578290962404,6.6436561772209295,6.398636531007833
2,6.2847558583242735,6.4565683713783315,6.327579577081353,6.428997655618565,6.595395123748957,6.439182204951548,6.2635887206438134,6.524993000280086,6.262176515341301,6.4392208402175966,6.5628475635398225,6.471462707078714,6.329766610406271,6.446137443112676,6.436239395745405,6.473348340428344,6.604264697377171,6.467232779058571
3,6.273537165951479,6.433699004407041,6.227444279931442,6.321816904937636,6.514836140042491,6.2569223123623825,6.254435914700464,6.4177033706486695,6.235608265461945,6.296462054607248,6.4990819048880075,6.265636651886603,6.276841332848076,6.446017394153434,6.240005069939633,6.3197785960277315,6.521357233591198,6.275441848696543
4,6.441538755305264,6.706624601201128,6.480997515117619,6.562492796969025,6.724583360733344,6.523562306149512,6.574850863658808,6.745614429263698,6.521022707110308,6.610062481696645,6.695732098937392,6.501408203107351,6.454178155088317,6.712382254443451,6.536307892272279,6.594945314034245,6.785421463038291,6.584515111129642
5,6.237974002681236,6.5085455650364805,6.129649159195001,6.47290096963398,6.632396956219188,6.34819718169027,6.266301312831069,6.529053808143187,6.220694799971663,6.499351647112591,6.709336432169535,6.305682045321563,6.280021236970423,6.410218163577981,6.193358270590147,6.522518404181491,6.674024631622829,6.291615434782976
6,6.2828076728761015,6.438161822014506,6.294712342663853,6.4012121389454535,6.508582830496993,6.362208802487757,6.261943570955398,6.447562821857402,6.328963042659595,6.386015612278377,6.452600852586607,6.31790494772307,6.285409859197785,6.507660341048567,6.380643913345361,6.342781412145174,6.4781255438746745,6.332079974562363
7,6.2646831510544985,6.489696496523463,6.241424782530218,6.324940019922354,6.577548374115355,6.303625794739844,6.382572699613435,6.509163553787716,6.340157721305056,6.439841771601388,6.523562306149512,6.350796215237906,6.244614895892613,6.388130371056198,6.197488023708514,6.2771133037735884,6.58712610638267,6.3284326924921475
8,6.33063584069836,6.47025546828133,6.349327973710513,6.369377634337561,6.627159152919842,6.445039315786674,6.445379625471769,6.566391096280496,6.411659348361132,6.426308649851345,6.599004323324988,6.4759461955343705,6.455872190849597,6.479474723876736,6.362673070949816,6.4178496490818,6.578982358667979,6.46985306361731
9,6.460686621018898,6.6350828038406595,6.393093477658203,6.529687722585969,6.6292898616352804,6.331267696240995,6.475314184137129,6.557527759628538,6.2678170567533344,6.486030118386157,6.6417195771467155,6.319649644295645,6.392174778944144,6.613048591593392,6.365011506247146,6.464987616876595,6.6705328201693295,6.331829572923849
10,6.339071473543323,6.603353003167747,6.524373477177247,6.461748585753275,6.622171004612502,6.530658944924416,6.429988259118567,6.592435520725319,6.552061995913812,6.487889682471515,6.64447480544959,6.6630951323674115,6.3997888117929485,6.545205971850804,6.473890696352274,6.390971771280261,6.5783370516027135,6.599082505332741
