subj_idx,matchness,valence,condition,N,countN,ACC
1,match,circle,image_first,40,40,1
1,match,circle,simultaneous,40,39,0.975
1,match,circle,word_first,40,40,1
1,match,square,image_first,40,40,1
1,match,square,simultaneous,40,40,1
1,match,square,word_first,40,39,0.975
1,match,triangle,image_first,40,39,0.975
1,match,triangle,simultaneous,40,39,0.975
1,match,triangle,word_first,40,40,1
1,mismatch,circle,image_first,40,40,1
1,mismatch,circle,simultaneous,40,38,0.95
1,mismatch,circle,word_first,40,40,1
1,mismatch,square,image_first,40,39,0.975
1,mismatch,square,simultaneous,40,39,0.975
1,mismatch,square,word_first,40,38,0.95
1,mismatch,triangle,image_first,40,40,1
1,mismatch,triangle,simultaneous,40,39,0.975
1,mismatch,triangle,word_first,40,40,1
2,match,circle,image_first,40,36,0.9
2,match,circle,simultaneous,40,39,0.975
2,match,circle,word_first,40,35,0.875
2,match,square,image_first,40,40,1
2,match,square,simultaneous,40,40,1
2,match,square,word_first,40,39,0.975
2,match,triangle,image_first,40,39,0.975
2,match,triangle,simultaneous,40,38,0.95
2,match,triangle,word_first,40,36,0.9
2,mismatch,circle,image_first,40,38,0.95
2,mismatch,circle,simultaneous,40,39,0.975
2,mismatch,circle,word_first,40,38,0.95
2,mismatch,square,image_first,40,37,0.925
2,mismatch,square,simultaneous,40,35,0.875
2,mismatch,square,word_first,40,35,0.875
2,mismatch,triangle,image_first,40,37,0.925
2,mismatch,triangle,simultaneous,40,38,0.95
2,mismatch,triangle,word_first,40,40,1
3,match,circle,image_first,40,40,1
3,match,circle,simultaneous,40,36,0.9
3,match,circle,word_first,40,37,0.925
3,match,square,image_first,40,38,0.95
3,match,square,simultaneous,40,37,0.925
3,match,square,word_first,40,36,0.9
3,match,triangle,image_first,40,38,0.95
3,match,triangle,simultaneous,40,32,0.8
3,match,triangle,word_first,40,36,0.9
3,mismatch,circle,image_first,40,36,0.9
3,mismatch,circle,simultaneous,40,36,0.9
3,mismatch,circle,word_first,40,36,0.9
3,mismatch,square,image_first,40,37,0.925
3,mismatch,square,simultaneous,40,32,0.8
3,mismatch,square,word_first,40,34,0.85
3,mismatch,triangle,image_first,40,40,1
3,mismatch,triangle,simultaneous,40,34,0.85
3,mismatch,triangle,word_first,40,36,0.9
4,match,circle,image_first,40,35,0.875
4,match,circle,simultaneous,40,36,0.9
4,match,circle,word_first,40,37,0.925
4,match,square,image_first,40,31,0.775
4,match,square,simultaneous,40,28,0.7
4,match,square,word_first,39,33,0.8461538461538461
4,match,triangle,image_first,40,37,0.925
4,match,triangle,simultaneous,39,36,0.9230769230769231
4,match,triangle,word_first,40,34,0.85
4,mismatch,circle,image_first,40,29,0.725
4,mismatch,circle,simultaneous,39,32,0.8205128205128205
4,mismatch,circle,word_first,40,31,0.775
4,mismatch,square,image_first,40,34,0.85
4,mismatch,square,simultaneous,40,37,0.925
4,mismatch,square,word_first,40,38,0.95
4,mismatch,triangle,image_first,40,36,0.9
4,mismatch,triangle,simultaneous,40,34,0.85
4,mismatch,triangle,word_first,40,35,0.875
5,match,circle,image_first,39,39,1
5,match,circle,simultaneous,40,40,1
5,match,circle,word_first,40,40,1
5,match,square,image_first,40,38,0.95
5,match,square,simultaneous,40,40,1
5,match,square,word_first,40,38,0.95
5,match,triangle,image_first,40,40,1
5,match,triangle,simultaneous,40,38,0.95
5,match,triangle,word_first,39,39,1
5,mismatch,circle,image_first,39,39,1
5,mismatch,circle,simultaneous,40,40,1
5,mismatch,circle,word_first,40,39,0.975
5,mismatch,square,image_first,40,38,0.95
5,mismatch,square,simultaneous,40,38,0.95
5,mismatch,square,word_first,40,40,1
5,mismatch,triangle,image_first,39,38,0.9743589743589743
5,mismatch,triangle,simultaneous,40,40,1
5,mismatch,triangle,word_first,40,40,1
6,match,circle,image_first,40,38,0.95
6,match,circle,simultaneous,40,39,0.975
6,match,circle,word_first,40,40,1
6,match,square,image_first,40,38,0.95
6,match,square,simultaneous,40,37,0.925
6,match,square,word_first,40,40,1
6,match,triangle,image_first,40,38,0.95
6,match,triangle,simultaneous,40,39,0.975
6,match,triangle,word_first,40,39,0.975
6,mismatch,circle,image_first,40,40,1
6,mismatch,circle,simultaneous,40,40,1
6,mismatch,circle,word_first,40,40,1
6,mismatch,square,image_first,40,39,0.975
6,mismatch,square,simultaneous,40,40,1
6,mismatch,square,word_first,40,39,0.975
6,mismatch,triangle,image_first,40,40,1
6,mismatch,triangle,simultaneous,40,40,1
6,mismatch,triangle,word_first,40,40,1
7,match,circle,image_first,40,40,1
7,match,circle,simultaneous,40,34,0.85
7,match,circle,word_first,40,39,0.975
7,match,square,image_first,40,38,0.95
7,match,square,simultaneous,40,34,0.85
7,match,square,word_first,40,35,0.875
7,match,triangle,image_first,40,39,0.975
7,match,triangle,simultaneous,40,39,0.975
7,match,triangle,word_first,40,39,0.975
7,mismatch,circle,image_first,40,37,0.925
7,mismatch,circle,simultaneous,40,40,1
7,mismatch,circle,word_first,40,40,1
7,mismatch,square,image_first,40,39,0.975
7,mismatch,square,simultaneous,40,37,0.925
7,mismatch,square,word_first,40,39,0.975
7,mismatch,triangle,image_first,40,40,1
7,mismatch,triangle,simultaneous,40,39,0.975
7,mismatch,triangle,word_first,40,36,0.9
8,match,circle,image_first,40,37,0.925
8,match,circle,simultaneous,40,37,0.925
8,match,circle,word_first,40,37,0.925
8,match,square,image_first,40,28,0.7
8,match,square,simultaneous,40,30,0.75
8,match,square,word_first,40,31,0.775
8,match,triangle,image_first,40,35,0.875
8,match,triangle,simultaneous,40,35,0.875
8,match,triangle,word_first,40,34,0.85
8,mismatch,circle,image_first,40,36,0.9
8,mismatch,circle,simultaneous,40,36,0.9
8,mismatch,circle,word_first,40,35,0.875
8,mismatch,square,image_first,40,36,0.9
8,mismatch,square,simultaneous,40,33,0.825
8,mismatch,square,word_first,40,30,0.75
8,mismatch,triangle,image_first,40,38,0.95
8,mismatch,triangle,simultaneous,40,31,0.775
8,mismatch,triangle,word_first,40,36,0.9
9,match,circle,image_first,40,40,1
9,match,circle,simultaneous,40,38,0.95
9,match,circle,word_first,40,37,0.925
9,match,square,image_first,40,39,0.975
9,match,square,simultaneous,40,36,0.9
9,match,square,word_first,40,40,1
9,match,triangle,image_first,40,39,0.975
9,match,triangle,simultaneous,40,40,1
9,match,triangle,word_first,40,33,0.825
9,mismatch,circle,image_first,40,38,0.95
9,mismatch,circle,simultaneous,40,36,0.9
9,mismatch,circle,word_first,40,38,0.95
9,mismatch,square,image_first,39,35,0.8974358974358975
9,mismatch,square,simultaneous,39,34,0.8717948717948718
9,mismatch,square,word_first,40,37,0.925
9,mismatch,triangle,image_first,40,39,0.975
9,mismatch,triangle,simultaneous,40,38,0.95
9,mismatch,triangle,word_first,40,38,0.95
10,match,circle,image_first,40,37,0.925
10,match,circle,simultaneous,40,39,0.975
10,match,circle,word_first,39,38,0.9743589743589743
10,match,square,image_first,40,36,0.9
10,match,square,simultaneous,40,36,0.9
10,match,square,word_first,40,32,0.8
10,match,triangle,image_first,39,39,1
10,match,triangle,simultaneous,40,40,1
10,match,triangle,word_first,39,39,1
10,mismatch,circle,image_first,39,39,1
10,mismatch,circle,simultaneous,40,40,1
10,mismatch,circle,word_first,40,40,1
10,mismatch,square,image_first,40,37,0.925
10,mismatch,square,simultaneous,40,38,0.95
10,mismatch,square,word_first,37,34,0.918918918918919
10,mismatch,triangle,image_first,39,39,1
10,mismatch,triangle,simultaneous,39,38,0.9743589743589743
10,mismatch,triangle,word_first,40,38,0.95
11,match,circle,image_first,40,40,1
11,match,circle,simultaneous,40,38,0.95
11,match,circle,word_first,40,40,1
11,match,square,image_first,40,40,1
11,match,square,simultaneous,39,39,1
11,match,square,word_first,40,40,1
11,match,triangle,image_first,40,40,1
11,match,triangle,simultaneous,40,38,0.95
11,match,triangle,word_first,40,39,0.975
11,mismatch,circle,image_first,40,40,1
11,mismatch,circle,simultaneous,39,35,0.8974358974358975
11,mismatch,circle,word_first,40,40,1
11,mismatch,square,image_first,40,37,0.925
11,mismatch,square,simultaneous,40,39,0.975
11,mismatch,square,word_first,39,39,1
11,mismatch,triangle,image_first,40,39,0.975
11,mismatch,triangle,simultaneous,40,37,0.925
11,mismatch,triangle,word_first,40,38,0.95
12,match,circle,image_first,40,35,0.875
12,match,circle,simultaneous,40,37,0.925
12,match,circle,word_first,40,36,0.9
12,match,square,image_first,40,37,0.925
12,match,square,simultaneous,40,38,0.95
12,match,square,word_first,40,40,1
12,match,triangle,image_first,40,35,0.875
12,match,triangle,simultaneous,40,35,0.875
12,match,triangle,word_first,40,39,0.975
12,mismatch,circle,image_first,40,37,0.925
12,mismatch,circle,simultaneous,40,38,0.95
12,mismatch,circle,word_first,40,37,0.925
12,mismatch,square,image_first,40,38,0.95
12,mismatch,square,simultaneous,40,36,0.9
12,mismatch,square,word_first,40,37,0.925
12,mismatch,triangle,image_first,40,38,0.95
12,mismatch,triangle,simultaneous,40,38,0.95
12,mismatch,triangle,word_first,40,39,0.975
13,match,circle,image_first,39,36,0.9230769230769231
13,match,circle,simultaneous,40,38,0.95
13,match,circle,word_first,40,40,1
13,match,square,image_first,40,38,0.95
13,match,square,simultaneous,40,37,0.925
13,match,square,word_first,40,38,0.95
13,match,triangle,image_first,40,36,0.9
13,match,triangle,simultaneous,40,39,0.975
13,match,triangle,word_first,40,37,0.925
13,mismatch,circle,image_first,40,37,0.925
13,mismatch,circle,simultaneous,40,31,0.775
13,mismatch,circle,word_first,40,34,0.85
13,mismatch,square,image_first,40,38,0.95
13,mismatch,square,simultaneous,40,35,0.875
13,mismatch,square,word_first,40,34,0.85
13,mismatch,triangle,image_first,40,37,0.925
13,mismatch,triangle,simultaneous,39,31,0.7948717948717948
13,mismatch,triangle,word_first,40,31,0.775
14,match,circle,image_first,40,36,0.9
14,match,circle,simultaneous,40,37,0.925
