subj_idx,valence,condition,CR,hit,FA,miss,hitR,faR,dprime
1,Bad,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Bad,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
1,Bad,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Good,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Good,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
1,Good,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Neutral,image_first,40,39,0,1,0.975,0.0125,4.201366712144998
1,Neutral,simultaneous,39,40,1,0,0.9875,0.025,4.201366712145
1,Neutral,word_first,40,39,0,1,0.975,0.0125,4.201366712144998
2,Bad,image_first,34,40,6,0,0.9875,0.15,3.277836117098736
2,Bad,simultaneous,37,35,3,5,0.875,0.075,2.5898808513144633
2,Bad,word_first,34,34,6,6,0.85,0.15,2.0728667789875788
2,Good,image_first,32,39,8,1,0.975,0.2,2.801585218112968
2,Good,simultaneous,29,35,11,5,0.875,0.275,1.7481095064184862
2,Good,word_first,27,38,13,2,0.95,0.325,2.0986158171213507
2,Neutral,image_first,36,37,4,3,0.925,0.1,2.7210830364830567
2,Neutral,simultaneous,35,35,4,4,0.8974358974358975,0.10256410256410256,2.5341515025328887
2,Neutral,word_first,31,39,9,1,0.975,0.225,2.7153790109005227
3,Bad,image_first,38,32,2,8,0.8,0.05,2.486474860524387
3,Bad,simultaneous,40,21,0,19,0.525,0.0125,2.3041095055481584
3,Bad,word_first,38,31,2,9,0.775,0.05,2.400268653311942
3,Good,image_first,38,40,2,0,0.9875,0.05,3.8862563545564193
3,Good,simultaneous,37,39,3,1,0.975,0.075,3.399495455478509
3,Good,word_first,33,36,7,4,0.9,0.175,2.216140856618081
3,Neutral,image_first,37,37,3,3,0.925,0.075,2.879062941876912
3,Neutral,simultaneous,40,38,0,2,0.95,0.0125,3.886256354556416
3,Neutral,word_first,35,35,5,5,0.875,0.125,2.3006987607520157
4,Bad,image_first,35,35,5,5,0.875,0.125,2.3006987607520157
4,Bad,simultaneous,35,37,5,3,0.925,0.125,2.5898808513144638
4,Bad,word_first,32,30,8,9,0.7692307692307693,0.2,1.5779371509490439
4,Good,image_first,36,35,4,5,0.875,0.1,2.4319009459206087
4,Good,simultaneous,37,35,3,4,0.8974358974358975,0.075,2.7066072222049
4,Good,word_first,35,38,5,2,0.95,0.125,2.7952030073274794
4,Neutral,image_first,37,36,3,4,0.9,0.075,2.7210830364830567
4,Neutral,simultaneous,38,35,2,5,0.875,0.05,2.7952030073274807
4,Neutral,word_first,33,35,7,5,0.875,0.175,2.084938671449488
5,Bad,image_first,35,39,5,1,0.975,0.125,3.1103133649160615
5,Bad,simultaneous,36,36,4,3,0.9230769230769231,0.1,2.7076284378174487
5,Bad,word_first,36,36,4,3,0.9230769230769231,0.1,2.7076284378174487
5,Good,image_first,33,40,6,0,0.9875,0.15384615384615385,3.2614789603911483
5,Good,simultaneous,39,40,1,0,0.9875,0.025,4.201366712145
5,Good,word_first,38,40,2,0,0.9875,0.05,3.8862563545564193
5,Neutral,image_first,38,38,2,2,0.95,0.05,3.289707253902944
5,Neutral,simultaneous,32,39,7,1,0.975,0.1794871794871795,2.8772851701592814
5,Neutral,word_first,38,39,2,1,0.975,0.05,3.6048176114915265
6,Bad,image_first,39,39,1,1,0.975,0.025,3.919927969080107
6,Bad,simultaneous,39,38,1,2,0.95,0.025,3.6048176114915256
6,Bad,word_first,40,39,0,1,0.975,0.0125,4.201366712144998
6,Good,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
6,Good,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
6,Good,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
6,Neutral,image_first,40,38,0,2,0.95,0.0125,3.886256354556416
6,Neutral,simultaneous,38,39,1,1,0.975,0.02564102564102564,3.9090759814799414
